id_cliente,nombre,edad,genero,pais,segmento
1001,Cliente_1001,49,F,Chile,Retail
1002,Cliente_1002,32,M,Chile,Corporativo
1003,Cliente_1003,20,M,Argentina,PYME
1004,Cliente_1004,55,F,México,PYME
1005,Cliente_1005,43,F,México,PYME
1006,Cliente_1006,33,M,Chile,Retail
1007,Cliente_1007,19,M,Colombia,Corporativo
1008,Cliente_1008,26,F,México,Retail
1009,Cliente_1009,25,M,Colombia,Retail
1010,Cliente_1010,47,F,México,PYME
1011,Cliente_1011,26,M,Argentina,Corporativo
1012,Cliente_1012,30,M,México,Retail
1013,Cliente_1013,68,F,México,Corporativo
1014,Cliente_1014,19,F,México,Retail
1015,Cliente_1015,31,M,Colombia,PYME
1016,Cliente_1016,59,F,Colombia,Corporativo
1017,Cliente_1017,48,F,México,Corporativo
1018,Cliente_1018,69,M,Colombia,Retail
1019,Cliente_1019,31,F,Argentina,PYME
1020,Cliente_1020,20,M,México,Retail
1021,Cliente_1021,32,M,Argentina,Corporativo
1022,Cliente_1022,45,M,Colombia,Retail
1023,Cliente_1023,30,F,Argentina,Corporativo
1024,Cliente_1024,35,F,Argentina,Corporativo
1025,Cliente_1025,33,F,Chile,Corporativo
1026,Cliente_1026,42,F,México,Corporativo
1027,Cliente_1027,68,F,Colombia,PYME
1028,Cliente_1028,58,F,México,Corporativo
1029,Cliente_1029,69,M,Chile,PYME
1030,Cliente_1030,68,M,Colombia,Corporativo
1031,Cliente_1031,56,M,Colombia,PYME
1032,Cliente_1032,62,F,Colombia,Retail
1033,Cliente_1033,51,M,Chile,PYME
1034,Cliente_1034,42,M,Chile,Retail
1035,Cliente_1035,26,M,México,Retail
1036,Cliente_1036,62,M,Chile,PYME
1037,Cliente_1037,20,F,Chile,Retail
1038,Cliente_1038,51,F,Colombia,PYME
1039,Cliente_1039,34,M,México,PYME
1040,Cliente_1040,30,M,Chile,PYME
1041,Cliente_1041,56,M,Chile,Retail
1042,Cliente_1042,46,M,Colombia,PYME
1043,Cliente_1043,65,F,México,Retail
1044,Cliente_1044,26,M,México,PYME
1045,Cliente_1045,23,F,Argentina,Retail
1046,Cliente_1046,49,M,Chile,Corporativo
1047,Cliente_1047,24,M,Argentina,Retail
1048,Cliente_1048,18,F,México,Corporativo
1049,Cliente_1049,42,M,Chile,PYME
1050,Cliente_1050,60,M,Argentina,Retail
1051,Cliente_1051,40,M,Argentina,PYME
1052,Cliente_1052,68,M,Argentina,PYME
1053,Cliente_1053,39,F,Chile,Retail
1054,Cliente_1054,61,F,Argentina,PYME
1055,Cliente_1055,56,M,México,Retail
1056,Cliente_1056,56,M,Argentina,Corporativo
1057,Cliente_1057,40,F,Chile,Corporativo
1058,Cliente_1058,44,M,Chile,PYME
1059,Cliente_1059,28,F,Colombia,PYME
1060,Cliente_1060,24,F,México,PYME
1061,Cliente_1061,22,F,México,Corporativo
1062,Cliente_1062,41,M,Colombia,Corporativo
1063,Cliente_1063,64,F,Colombia,Retail
1064,Cliente_1064,26,F,Colombia,PYME
1065,Cliente_1065,65,F,Argentina,Retail
1066,Cliente_1066,54,M,México,PYME
1067,Cliente_1067,53,F,Argentina,Retail
1068,Cliente_1068,65,M,México,Corporativo
1069,Cliente_1069,43,F,Argentina,Retail
1070,Cliente_1070,56,F,Argentina,Corporativo
1071,Cliente_1071,60,F,México,Retail
1072,Cliente_1072,18,M,Chile,PYME
1073,Cliente_1073,66,M,Argentina,PYME
1074,Cliente_1074,22,F,Chile,Retail
1075,Cliente_1075,45,F,Argentina,Retail
1076,Cliente_1076,18,F,México,Corporativo
1077,Cliente_1077,65,F,Colombia,Retail
1078,Cliente_1078,27,F,Chile,PYME
1079,Cliente_1079,37,F,Chile,Corporativo
1080,Cliente_1080,55,F,México,Corporativo
1081,Cliente_1081,42,M,Colombia,Corporativo
1082,Cliente_1082,54,F,Colombia,PYME
1083,Cliente_1083,65,F,Argentina,Corporativo
1084,Cliente_1084,55,M,Colombia,Retail
1085,Cliente_1085,46,F,México,PYME
1086,Cliente_1086,51,F,Chile,PYME
1087,Cliente_1087,21,F,Chile,PYME
1088,Cliente_1088,28,F,Colombia,Corporativo
1089,Cliente_1089,64,M,Colombia,Corporativo
1090,Cliente_1090,39,F,Argentina,Retail
1091,Cliente_1091,39,F,Argentina,Corporativo
1092,Cliente_1092,43,F,Colombia,Corporativo
1093,Cliente_1093,25,F,México,PYME
1094,Cliente_1094,63,M,México,PYME
1095,Cliente_1095,18,F,México,Corporativo
1096,Cliente_1096,53,M,Argentina,PYME
1097,Cliente_1097,32,F,México,Corporativo
1098,Cliente_1098,56,M,México,Retail
1099,Cliente_1099,39,F,Colombia,Corporativo
1100,Cliente_1100,45,F,Chile,Retail
