id_transaccion,id_cliente,id_producto,fecha,monto,tipo_transaccion
5001,1046,7,2023-01-01,1539.59,Retiro
5002,1060,4,2023-01-02,3338.85,Depósito
5003,1087,9,2023-01-03,4872.03,Transferencia
5004,1068,5,2023-01-04,8778.43,Transferencia
5005,1084,4,2023-01-05,7059.12,Transferencia
5006,1075,1,2023-01-06,7981.85,Transferencia
5007,1005,5,2023-01-07,4057.31,Pago
5008,1067,10,2023-01-08,2281.44,Depósito
5009,1079,2,2023-01-09,5199.13,Transferencia
5010,1001,8,2023-01-10,9071.38,Depósito
5011,1098,10,2023-01-11,9483.92,Pago
5012,1072,4,2023-01-12,6692.01,Depósito
5013,1013,6,2023-01-13,9833.36,Depósito
5014,1090,5,2023-01-14,7140.19,Pago
5015,1069,5,2023-01-15,5887.8,Transferencia
5016,1056,10,2023-01-16,363.29,Transferencia
5017,1099,2,2023-01-17,4092.95,Depósito
5018,1075,7,2023-01-18,5688.18,Depósito
5019,1011,10,2023-01-19,9948.56,Depósito
5020,1025,8,2023-01-20,9435.93,Pago
5021,1085,2,2023-01-21,6267.32,Pago
5022,1054,3,2023-01-22,9605.05,Depósito
5023,1085,10,2023-01-23,1616.66,Transferencia
5024,1068,1,2023-01-24,5450.74,Depósito
5025,1100,9,2023-01-25,8864.32,Depósito
5026,1043,10,2023-01-26,6443.78,Depósito
5027,1070,5,2023-01-27,6940.68,Retiro
5028,1004,7,2023-01-28,5344.8,Pago
5029,1032,10,2023-01-29,6871.86,Retiro
5030,1100,1,2023-01-30,4866.78,Depósito
5031,1031,10,2023-01-31,5512.41,Retiro
5032,1016,10,2023-02-01,576.79,Pago
5033,1023,9,2023-02-02,7650.81,Retiro
5034,1043,4,2023-02-03,560.55,Depósito
5035,1079,9,2023-02-04,683.33,Pago
5036,1058,4,2023-02-05,5915.63,Depósito
5037,1074,3,2023-02-06,6933.78,Retiro
5038,1098,7,2023-02-07,377.1,Pago
5039,1090,1,2023-02-08,1540.21,Pago
5040,1055,10,2023-02-09,2883.51,Transferencia
5041,1009,4,2023-02-10,1859.08,Retiro
5042,1067,4,2023-02-11,3762.17,Pago
5043,1097,5,2023-02-12,2549.16,Transferencia
5044,1025,7,2023-02-13,9766.51,Transferencia
5045,1026,7,2023-02-14,2379.32,Depósito
5046,1037,3,2023-02-15,1422.31,Depósito
5047,1064,7,2023-02-16,2350.95,Depósito
5048,1084,6,2023-02-17,2846.36,Retiro
5049,1005,10,2023-02-18,211.16,Depósito
5050,1074,5,2023-02-19,8989.05,Depósito
5051,1037,5,2023-02-20,4770.37,Pago
5052,1054,2,2023-02-21,2343.76,Depósito
5053,1083,8,2023-02-22,9205.19,Depósito
5054,1064,4,2023-02-23,8102.17,Transferencia
5055,1023,4,2023-02-24,4312.47,Retiro
5056,1030,8,2023-02-25,1757.25,Depósito
5057,1072,8,2023-02-26,4132.15,Transferencia
5058,1071,6,2023-02-27,8123.56,Transferencia
5059,1036,1,2023-02-28,5434.57,Depósito
5060,1019,2,2023-03-01,6205.17,Pago
5061,1066,4,2023-03-02,7274.31,Depósito
5062,1037,5,2023-03-03,3380.49,Depósito
5063,1067,9,2023-03-04,4725.19,Transferencia
5064,1083,5,2023-03-05,9538.05,Pago
5065,1017,2,2023-03-06,7802.72,Pago
5066,1054,10,2023-03-07,5074.15,Pago
5067,1071,2,2023-03-08,5825.82,Depósito
5068,1038,3,2023-03-09,4599.85,Pago
5069,1072,3,2023-03-10,7534.78,Retiro
5070,1059,10,2023-03-11,484.85,Transferencia
5071,1088,6,2023-03-12,5836.98,Pago
5072,1010,3,2023-03-13,378.36,Retiro
5073,1029,3,2023-03-14,8280.61,Retiro
5074,1021,10,2023-03-15,5559.7,Transferencia
5075,1095,6,2023-03-16,1320.41,Pago
5076,1029,5,2023-03-17,7076.32,Transferencia
5077,1032,6,2023-03-18,5122.58,Retiro
5078,1026,9,2023-03-19,9340.09,Pago
5079,1055,4,2023-03-20,6153.87,Depósito
5080,1041,4,2023-03-21,4123.35,Retiro
5081,1052,3,2023-03-22,5980.74,Depósito
5082,1047,1,2023-03-23,5029.47,Depósito
5083,1093,4,2023-03-24,6688.43,Depósito
5084,1062,7,2023-03-25,1048.73,Transferencia
5085,1065,9,2023-03-26,3185.53,Depósito
5086,1002,1,2023-03-27,3984.77,Depósito
5087,1088,5,2023-03-28,2602.53,Depósito
5088,1027,3,2023-03-29,100.85,Transferencia
5089,1051,7,2023-03-30,5117.45,Transferencia
5090,1057,10,2023-03-31,6504.48,Depósito
5091,1072,3,2023-04-01,8992.53,Retiro
5092,1023,4,2023-04-02,993.48,Pago
5093,1070,2,2023-04-03,648.48,Depósito
5094,1052,3,2023-04-04,7980.76,Retiro
5095,1014,1,2023-04-05,552.15,Depósito
5096,1098,9,2023-04-06,5223.48,Depósito
5097,1039,10,2023-04-07,4708.99,Retiro
5098,1006,9,2023-04-08,809.47,Pago
5099,1029,7,2023-04-09,4416.72,Depósito
5100,1045,7,2023-04-10,5518.78,Depósito
5101,1076,6,2023-04-11,851.29,Pago
5102,1031,2,2023-04-12,3582.06,Pago
5103,1095,2,2023-04-13,4361.16,Retiro
5104,1015,8,2023-04-14,5706.82,Depósito
5105,1016,6,2023-04-15,4665.74,Depósito
5106,1027,6,2023-04-16,9428.5,Pago
5107,1039,7,2023-04-17,7496.68,Depósito
5108,1009,8,2023-04-18,122.67,Transferencia
5109,1089,9,2023-04-19,7808.21,Depósito
5110,1029,4,2023-04-20,238.32,Pago
5111,1021,4,2023-04-21,2601.4,Depósito
5112,1034,10,2023-04-22,3202.57,Pago
5113,1012,2,2023-04-23,9326.56,Retiro
5114,1095,4,2023-04-24,8877.12,Pago
5115,1029,4,2023-04-25,7468.58,Retiro
5116,1039,4,2023-04-26,5884.34,Transferencia
5117,1054,2,2023-04-27,5772.5,Transferencia
5118,1094,8,2023-04-28,8059.31,Retiro
5119,1064,9,2023-04-29,1740.96,Transferencia
5120,1099,8,2023-04-30,9880.55,Retiro
5121,1049,7,2023-05-01,7066.78,Depósito
5122,1063,8,2023-05-02,8085.38,Depósito
5123,1075,7,2023-05-03,6791.69,Depósito
5124,1052,9,2023-05-04,1697.99,Transferencia
5125,1044,7,2023-05-05,2471.29,Transferencia
5126,1084,10,2023-05-06,8065.32,Retiro
5127,1039,6,2023-05-07,1564.58,Retiro
5128,1012,10,2023-05-08,4405.77,Depósito
5129,1087,7,2023-05-09,6943.04,Depósito
5130,1065,3,2023-05-10,2523.62,Pago
5131,1064,9,2023-05-11,8460.49,Depósito
5132,1042,6,2023-05-12,9787.31,Pago
5133,1003,6,2023-05-13,989.34,Retiro
5134,1065,9,2023-05-14,4390.61,Transferencia
5135,1080,3,2023-05-15,9229.68,Depósito
5136,1077,2,2023-05-16,7120.53,Retiro
5137,1063,3,2023-05-17,1039.61,Transferencia
5138,1099,2,2023-05-18,9170.62,Retiro
5139,1070,2,2023-05-19,8369.62,Depósito
5140,1012,3,2023-05-20,5885.88,Depósito
5141,1059,10,2023-05-21,2865.06,Retiro
5142,1022,8,2023-05-22,3780.19,Retiro
5143,1036,5,2023-05-23,5180.53,Depósito
5144,1065,10,2023-05-24,7343.8,Retiro
5145,1070,1,2023-05-25,8673.79,Depósito
5146,1039,3,2023-05-26,6784.74,Transferencia
5147,1059,3,2023-05-27,8833.86,Retiro
5148,1088,1,2023-05-28,458.14,Depósito
5149,1065,10,2023-05-29,4447.26,Transferencia
5150,1057,4,2023-05-30,5000.17,Transferencia
5151,1031,6,2023-05-31,2475.74,Depósito
5152,1067,9,2023-06-01,2551.37,Transferencia
5153,1080,3,2023-06-02,5556.93,Retiro
5154,1074,10,2023-06-03,8746.42,Depósito
5155,1050,5,2023-06-04,6574.07,Retiro
5156,1001,2,2023-06-05,8801.4,Transferencia
5157,1011,1,2023-06-06,1962.62,Transferencia
5158,1060,3,2023-06-07,6131.88,Retiro
5159,1060,3,2023-06-08,7007.04,Depósito
5160,1086,3,2023-06-09,5698.96,Pago
5161,1091,5,2023-06-10,4412.63,Retiro
5162,1072,2,2023-06-11,191.6,Depósito
5163,1021,2,2023-06-12,7601.69,Transferencia
5164,1071,6,2023-06-13,7931.94,Retiro
5165,1065,9,2023-06-14,5043.82,Transferencia
5166,1097,10,2023-06-15,1399.5,Retiro
5167,1029,9,2023-06-16,2840.43,Transferencia
5168,1095,5,2023-06-17,6663.45,Depósito
5169,1048,7,2023-06-18,2629.06,Retiro
5170,1065,10,2023-06-19,5692.44,Retiro
5171,1003,7,2023-06-20,7095.31,Pago
5172,1025,7,2023-06-21,9757.76,Depósito
5173,1079,10,2023-06-22,3568.56,Depósito
5174,1060,9,2023-06-23,9303.39,Depósito
5175,1005,4,2023-06-24,9709.59,Transferencia
5176,1084,1,2023-06-25,3330.12,Retiro
5177,1085,4,2023-06-26,7561.33,Depósito
5178,1099,7,2023-06-27,6321.56,Retiro
5179,1077,6,2023-06-28,1660.09,Depósito
5180,1077,6,2023-06-29,1241.83,Pago
5181,1094,1,2023-06-30,5560.6,Pago
5182,1058,4,2023-07-01,2033.85,Pago
5183,1029,6,2023-07-02,6167.17,Pago
5184,1065,9,2023-07-03,9776.54,Transferencia
5185,1053,4,2023-07-04,6212.35,Pago
5186,1082,3,2023-07-05,7293.82,Transferencia
5187,1061,9,2023-07-06,196.41,Transferencia
5188,1010,6,2023-07-07,5283.21,Retiro
5189,1003,6,2023-07-08,9239.0,Retiro
5190,1016,7,2023-07-09,8365.76,Transferencia
5191,1083,2,2023-07-10,7866.89,Transferencia
5192,1084,10,2023-07-11,4996.88,Depósito
5193,1052,4,2023-07-12,3181.87,Pago
5194,1094,5,2023-07-13,8275.71,Retiro
5195,1001,5,2023-07-14,224.0,Transferencia
5196,1011,3,2023-07-15,2410.67,Depósito
5197,1022,5,2023-07-16,8997.85,Pago
5198,1054,4,2023-07-17,2051.49,Retiro
5199,1054,7,2023-07-18,3322.29,Retiro
5200,1073,9,2023-07-19,7017.83,Transferencia
5201,1060,6,2023-07-20,8749.52,Transferencia
5202,1069,8,2023-07-21,8449.41,Retiro
5203,1015,4,2023-07-22,4829.5,Transferencia
5204,1015,9,2023-07-23,7297.06,Depósito
5205,1049,4,2023-07-24,6591.31,Pago
5206,1029,7,2023-07-25,304.8,Depósito
5207,1083,8,2023-07-26,7540.78,Pago
5208,1020,10,2023-07-27,7196.02,Pago
5209,1008,2,2023-07-28,1673.5,Depósito
5210,1078,8,2023-07-29,743.44,Depósito
5211,1085,7,2023-07-30,8514.47,Retiro
5212,1091,4,2023-07-31,1374.29,Transferencia
5213,1049,5,2023-08-01,4034.68,Pago
5214,1093,10,2023-08-02,3316.77,Retiro
5215,1017,6,2023-08-03,9027.96,Retiro
5216,1067,9,2023-08-04,87.64,Depósito
5217,1079,7,2023-08-05,9187.38,Transferencia
5218,1021,3,2023-08-06,7774.44,Pago
5219,1094,1,2023-08-07,643.88,Transferencia
5220,1091,3,2023-08-08,4352.81,Pago
5221,1020,9,2023-08-09,1025.19,Retiro
5222,1070,7,2023-08-10,7353.77,Depósito
5223,1018,1,2023-08-11,1861.72,Depósito
5224,1048,6,2023-08-12,9757.52,Pago
5225,1058,7,2023-08-13,1293.27,Pago
5226,1043,9,2023-08-14,1492.56,Transferencia
5227,1006,8,2023-08-15,7299.1,Retiro
5228,1075,7,2023-08-16,8099.86,Pago
5229,1005,9,2023-08-17,9780.09,Retiro
5230,1034,10,2023-08-18,361.47,Pago
5231,1030,6,2023-08-19,9258.02,Pago
5232,1046,1,2023-08-20,9211.54,Retiro
5233,1054,1,2023-08-21,4400.86,Retiro
5234,1016,10,2023-08-22,1534.59,Transferencia
5235,1014,2,2023-08-23,481.86,Transferencia
5236,1011,6,2023-08-24,2625.06,Transferencia
5237,1085,5,2023-08-25,3773.6,Pago
5238,1028,2,2023-08-26,2946.23,Pago
5239,1088,10,2023-08-27,8969.88,Pago
5240,1087,8,2023-08-28,8005.59,Retiro
5241,1060,9,2023-08-29,5765.87,Pago
5242,1097,1,2023-08-30,3159.61,Retiro
5243,1081,3,2023-08-31,4247.36,Depósito
5244,1064,9,2023-09-01,7255.38,Transferencia
5245,1047,7,2023-09-02,1209.04,Depósito
5246,1077,6,2023-09-03,5935.27,Depósito
5247,1085,8,2023-09-04,9222.76,Transferencia
5248,1092,1,2023-09-05,9796.98,Depósito
5249,1031,5,2023-09-06,5331.55,Pago
5250,1081,9,2023-09-07,4584.0,Pago
5251,1056,2,2023-09-08,5205.86,Depósito
5252,1046,9,2023-09-09,3214.56,Pago
5253,1014,10,2023-09-10,5646.78,Retiro
